scenario,status,recourse_cost,emergency_spend,emergency_purchase,shortage,waste,solver,runtime_seconds
s0000,optimal,62.50753357206105,0.0,0.0,0.0,116.29308571546242,appsi_highs,0.006618199986405671
s0001,optimal,0.0,0.0,0.0,0.0,0.0,appsi_highs,0.006227500009117648
s0002,optimal,0.0,0.0,0.0,0.0,0.0,appsi_highs,0.005847100022947416
s0003,optimal,974.9744515124028,0.0,0.0,20.994281901645195,0.0,appsi_highs,0.0052226999832782894
s0004,optimal,29.335660694617815,0.0,0.0,0.0,54.57797338533547,appsi_highs,0.00615159998415038
s0005,optimal,47.682708676435375,0.0,0.0,0.0,88.71201614220536,appsi_highs,0.00551739998627454
s0006,optimal,64.44344808483973,0.0,0.0,0.0,119.89478713458554,appsi_highs,0.005372999992687255
s0007,optimal,0.0,0.0,0.0,0.0,0.0,appsi_highs,0.006254299980355427
s0008,optimal,1164.2349343783912,0.0,0.0,25.069658363014454,0.0,appsi_highs,0.007654199987882748
s0009,optimal,2.148589019384118,0.0,0.0,0.0,3.9973749197844057,appsi_highs,0.005458900006487966
s0010,optimal,64.22563082667439,0.0,0.0,0.0,119.48954572404539,appsi_highs,0.006459199998062104
s0011,optimal,67.62444516503247,0.0,0.0,0.0,125.8129212372697,appsi_highs,0.005950599996140227
s0012,optimal,27.60519375029953,0.0,0.0,0.0,51.35850000055727,appsi_highs,0.0061163000063970685
s0013,optimal,35.71662920499217,0.0,0.0,0.0,66.44954270696218,appsi_highs,0.006504400022095069
s0014,optimal,51.484770295741605,0.0,0.0,0.0,95.7856191548681,appsi_highs,0.005466400005389005
s0015,optimal,0.0,0.0,0.0,0.0,0.0,appsi_highs,0.007813699980033562
s0016,optimal,2269.9644075814263,0.0,0.0,48.87950920717972,0.0,appsi_highs,0.007264600018970668
s0017,optimal,0.0,0.0,0.0,0.0,0.0,appsi_highs,0.006321699998807162
s0018,optimal,64.48744703289256,0.0,0.0,0.0,119.97664564259082,appsi_highs,0.008460099983494729
s0019,optimal,29.569531454981522,0.0,0.0,0.0,55.01308177670981,appsi_highs,0.005691799975465983
